Country Name,Life_Expectancy
Albania,80.2
Armenia,78.5
Austria,84.2
Belgium,84.3
Bulgaria,78.8
BosniaandHerzegovina,79.9
Belarus,79.4
Switzerland,85.8
Cyprus,83.0
CzechRepublic,82.2
Germany,83.7
Denmark,83.5
Spain,86.7
Estonia,83.0
Finland,84.8
France,85.9
FaroeIslands,85.2
England,83.1
Georgia,78.1
Greece,84.2
Croatia,81.6
Hungary,79.7
Ireland,84.7
Iceland,84.7
Israel,84.7
Italy,85.7
Liechtenstein,85.8
Lithuania,81.2
Luxembourg,85.2
Latvia,80.1
Moldova,76.2
Madagascar,68.7
Maldives,80.8
North Macedonia,78.6
Malta,84.6
Montenegro,79.5
Netherlands,83.7
Norway,84.7
Poland,81.9
Portugal,84.8
Romania,79.5
Russia,78.2
Serbia,78.6
Slovakia,81.2
Slovenia,84.5
Sweden,84.8
Turkey,80.6
Ukraine,77.0
